id,name,name_nepali,alternate_names,description,food_category,food_type,cuisine,region,district_or_city,ethnic_association,meal_type,diet_type,main_ingredients,spice_level,serving_style,is_traditional,is_festival_food,is_street_food,is_restaurant_food,image_url,image_source,image_license,image_verified,source_url,research_confidence,notes
1,Dal Bhat Tarkari,दाल भात तरकारी,Dal Bhat,"Nepal's everyday staple meal: steamed rice, lentil soup, and a vegetable side, often with pickle.",Main Course,Meal Set,Pan-Nepali,National,,Unknown / Mixed,Lunch/Dinner,Vegetarian (meat optional add-on),"Rice, lentils, seasonal vegetables",Mild,"Plated, often on a thali",TRUE,FALSE,FALSE,TRUE,,File:Nepali Dal Bhat.JPG | Wikimedia Commons — Category:Dal bhat / Cuisine of Nepal,CC BY-SA 4.0,FALSE,,High,Base meal; variants add meat/fish/pickle Filename confirmed via Commons search; not live URL-verified (see resolver script).
2,Khichdi,खिचडी,Khichadi,"Rice and lentils cooked together into a soft porridge-like dish, common comfort/festival food.",Main Course,Rice Dish,Pan-Nepali,National,,Unknown / Mixed,Lunch/Dinner,Vegetarian,"Rice, lentils, ghee, turmeric",Mild,"Bowl, with ghee and achar",TRUE,TRUE,FALSE,TRUE,,,,FALSE,,High,Eaten especially during Maghe Sankranti and illness recovery
3,Jaulo,जाउलो,,"A thin rice porridge, often given to the sick or infants.",Main Course,Porridge,Pan-Nepali,National,,Unknown / Mixed,Any,Vegetarian,"Rice, water/milk",None,Bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
4,Dhido (Makai),मकैको ढिँडो,"Makai ko Dhido, Corn Dhido","A thick porridge made from boiling maize flour, a staple in the hills.",Main Course,Porridge,Hill-region,Hill Region,,Unknown / Mixed,Lunch/Dinner,Vegan,"Maize flour, water",None,Served with gundruk/curry/ghee,TRUE,FALSE,FALSE,TRUE,,"File:Dhido.jpg | Wikimedia Commons — Category:Food of Nepal (generic dhido, grain variant not specified)",CC BY-SA (see file page),FALSE,,High,Considered a healthy traditional staple Filename confirmed via Commons search; not live URL-verified.
5,Dhido (Kodo),कोदोको ढिँडो,"Kodo ko Dhido, Millet Dhido","Thick porridge made from finger millet flour, common in mid-hills.",Main Course,Porridge,Hill-region,Hill Region,,Gurung / Magar / Tamang (widely shared),Lunch/Dinner,Vegan,"Millet flour, water",None,Served with gundruk/curry/ghee,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
6,Dhido (Fapar),फापरको ढिँडो,Buckwheat Dhido,"Porridge made from buckwheat flour, common in higher hill/mountain areas.",Main Course,Porridge,Himalayan,Hill/Mountain Region,,Unknown / Mixed,Lunch/Dinner,Vegan,"Buckwheat flour, water",None,Served with curry/ghee,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
7,Chiura,चिउरा,"Beaten Rice, Flattened Rice","Flattened/beaten rice, eaten dry or soaked, a very common snack and travel food.",Snack,Rice Product,Pan-Nepali,National,,Unknown / Mixed,Breakfast/Snack,Vegan,Rice,None,"Plate, often with curd, achar, or Sel Roti",TRUE,FALSE,TRUE,TRUE,,,,FALSE,,High,Base for many combo dishes like Dahi Chiura
8,Dahi Chiura,दही चिउरा,Curd Beaten Rice,"Beaten rice served with fresh curd, a common breakfast/festival combo.",Breakfast,Combo Dish,Pan-Nepali / Madhesi,National,,Unknown / Mixed,Breakfast,Vegetarian,"Beaten rice, curd, sugar",None,Bowl,TRUE,TRUE,FALSE,TRUE,,File:Dahi Chiura1.jpg | Wikimedia Commons,CC BY-SA (see file page),FALSE,,High,Especially eaten during festivals and Tihar Filename confirmed via Commons search; not live URL-verified (see resolver script).
9,Bhuja,भुजा,Roasted Beaten Rice,"Roasted flattened rice snack, often mixed with spices/peanuts.",Snack,Rice Product,Pan-Nepali,National,,Unknown / Mixed,Snack,Vegan,"Beaten rice, oil, spices",Mild,Bowl/packet,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,Medium,
10,Bhuteko Bhat,भुतेको भात,Fried Rice (Nepali style),"Rice stir-fried with vegetables/egg/meat, home-style leftover fried rice.",Main Course,Rice Dish,Pan-Nepali,National,,Unknown / Mixed,Lunch/Dinner,Vegetarian (meat/egg optional),"Cooked rice, vegetables, oil, spices",Mild,Plate,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
